txt_cleaned;CodeGpt
Giornata piuttosto tranquilla, mi sono riposato, ho fatto un po’ di studi per il dottorato e per il resto mi sono fatto un bagno quindi sono anche abbastanza rilassato da un punto di vista più fisico per così dire e niente ho lavorato un po’ sulla dizione, ho fatto alcune cose online, ora stavo mangiando e niente prima sono uscito fuori per fare delle compere. Ho pensato banalmente alle supplenze che forse dovrò fare da settimana prossima, ho pensato un po’ al dottorato e ho pensato un po’ onestamente al fantacalcio perché ho l’asta di riparazione una mercoledì e una giovedì. ;1738
Mia sorella [NAME1] veniva sgridata da qualcuno sul lavoro mentre faceva qualcosa, mentre era in sala operatoria. Ma io assistevo alla scena ma in realtà non c'ero ed ero super angosciata per questa cosa, un po' perché mi dispiaceva per lei e anche perché era triste.;1739
Stavo dando indicazioni a qualcuno su come si usa qualcosa, cioè come quando doveva usare una determinata cosa. Sembrava più un ambito ricreativo.;1740
Giornata molto complicata che sembrano addirittura un po' tutte complicate. Non ho fatto che stirare. Ho stirato velocissimamente, poi sono uscita di casa, di corsa, perché devo andare a prendere mio figlio a calcio, quindi preoccupazioni su preoccupazioni ma tutte preoccupazioni comunque legate alla routine quotidiana. Niente, mi sono arrabbiata con mio figlio grande, proprio in questo istante, perché non risponde mai al telefono. Quindi c'è pure questa sensazione di rabbia perché dico che cavolo ce l'ha a fare il cellulare se non risponde mai? Se devo chiamare quindici volte prima che mi risponda? Va bene, adesso mi calmo. Niente, da quando sono uscita dal lavoro è tutto un corri corri. Vabbè... aspetto con ansia le vacanze di Natale, questi dieci/quindici giorni di pausa. Per riposarmi e ricaricare un po' le pile in vista del nuovo anno. Comunque, ecco, in questa vita mai i figli, è sempre un corri corri.;1741
?Mi sento stanco.;1742
Ero nel mio futuro, che non era un futuro distopico o quant'altro, era un futuro normalissimo, solo che ero più avanti negli anni. E ero contenta, ero tranquilla e facevo il medico.;1743
"Stavo facendo un viaggio ed ero obbligata a fare questo viaggio con altre persone. Ero su una sorta di treno oppure una crociera, con molte altre persone. C'era anche un po' di paura. Avevo portato un sacco di piumoni e questi piumoni erano stati presi da altre persone. E quindi io pensavo: ""Cavolo, sono miei"", però alla fine glieli facevo usare, però diciamo le tenevo sotto controllo. E poi, a un certo punto, arrivavano come fossero dei cattivi, che ci dicevano, insomma, che volevano farci del male, che erano pericolosi. Ero con altre persone che conoscevo, però avevo la sensazione che non fosse un viaggio di piacere, come se fosse un viaggio pericoloso in qualche modo.";1744
Sono stato a scuola anche oggi, ho pensato a quello che dovevo fare in classe tra oggi e domani, ho pensato all’esame di stato devo fare ancora un po’ di simulazioni e ho pensato al corso che devo fare per insomma il corso di crescita personale. E niente, fondamentalmente sono stato un po’ ansioso tutto il giorno perché avrò una settimana del cazzo avrò una settimana piena di cose da fare e non ho avuto modo neanche di avere tanto tempo per me tra ieri e oggi, quindi non sono abituato a questi ritmi e mi sento un po’ stressato, un po’ ansioso e mi girano anche un po’ i coglioni perché sono un pochino stanco e ho tantissime cose da fare, quindi diciamo che è stata un po’ così oggi. ;1745
Ero al lavoro e era prima di pranzo, prima del servizio della cameriera ehm e dovevamo fare pranzo e c'era però un tavolo pieno di bambini e un altro tavolo che invece eravamo noi, il personale. Ehm tra cui anche il futuro nuovo gestore del ristorante e io dovevo apparecchiare, però tutti erano ormai già seduti tipo e mangiavano ma io continuavo a mettere forchette e coltelli, controllavo se era tutto a posto. E poi c'era una mia amica che dormiva a casa con me e mi chiedeva cosa fare, ecco, durante il giorno e io sapevo che il pomeriggio avrei lavorato e quindi la mattina gli avevo detto che magari era meglio se andavamo al mare perché era caldo. Però poi dopo io sono andata con mio fratello e mia madre in un'altra parte. Ero un po' agitata perché dovevo organizzare la giornata ehm e anche poi fare bella figura, diciamo, con il nuovo titolare.;1746
Ero sul letto e ero con gli occhi chiusi e diciamo, ero in meditazione. E quindi mi stavo rilassando, che qui oggi pomeriggio siamo andati a fare una passeggiata ed eravamo nella natura e non c'era nessuno e stavo veramente bene. Quindi abbiamo fatto una bella passeggiata e poi quando siamo tornati io mi sono messo così un pochino a rilassarmi. E basta, questo è quanto.;1747
Sensazione di così scontentezza, forse.;1748
Sono appena tornato a casa da lavoro. Sono stato al telefono, mentre che tornavo, con un caro amico che ultimamente ci eravamo visti e sentiti poco. Abbiamo chiacchierato un po' in generale di varie cose, un po' di lavoro, un po' come andavano le cose in generale, obiettivi... abbiamo parlato di vino, e abbiamo deciso di rivederci anche con altri nostri amici e magari mangiare un boccone tutti insieme, una sera di queste, con una buona bottiglia di vino... tanto per capire un po' come vanno le cose per tutti e rivederci in compagnia. Che è una delle cose più belle poi, via. Per il resto tutto nella normalità.;1749
Qualcosa relativo alla serie tv Breaking Bad, in cui c'ero anch'io come partecipante. E poi qualcosa legato alle attività che dovevo fare.;1750
Sono uscita che è poco da lavoro. Ho pranzato e ora vado alla macchina. Penso che, andrò a pulirla un attimino perché è sudicia, e niente. Stasera rientro a lavoro, quindi, mi sento molto stanca. Mi sento molto stanca, perché anche ieri sera ho lavorato e uff, ho sonno. Poi questo tempo, è un tempo grigio, sembra quasi che nevichi da un momento all'altro, non aiuta proprio per niente. Quindi, ho sonno.;1751
Ero da sola in sala a guardare Sanremo mentre ero lì che guardavo mi è preso un moto di tristezza e senso di solitudine e di estraniazione o stagnamento insomma mi sono sentita bloccata e ho pensato a quanto appunto io sia in un momento down dovuto anche al fatto che sono palesemente in fase premestruale ma non solo è un periodo un po’ faticoso un po’ triste e ho pensato che avrei tanta voglia di tornare a [PLACE1] a trovare i miei amici ma allo stesso tempo il pensiero lo trovo comunque un po’ deprimente ho paura di andare lì e in realtà essere particolarmente nostalgica trovare le persone o infelici o felici come se non ci [MISS] mezze misure e di desiderare di essere rimasta là oppure non lo so mi spaventa tornarci però allo stesso tempo ho avuto il desiderio di farlo stasera e in generale di avere una vita più attiva, di muovermi nel mondo non di essere sempre iper-cauta iper-responsabile e sentirmi il peso del mondo sulle spalle o sovraccarica e indecisa rispetto alle scelte che ho compiuto mi sembra di dovermi accontentare di come le cose vanno non di scegliere ciò che veramente mi fa star bene e di non avere neanche troppo spazio per pensare a cosa realmente mi faccia star bene. E quindi questo, poi tornando a mio fratello c’è stato uno scambio molto tenero semplice e mi sono rasserenata e ora mi preparo ad andare a letto.;1752
Perché non compila? Cioè dovrebbe funzionare, è un dizionario, e non compila. Cosa mi dice qua? Che è un set, ma che cos'è il set, ma perché deve essere tutto complicato, ma che cosa ho scritto? Eh sì, non funziona niente, ogni variabile che carico è un problema. Tutti problemi, non c'è niente che vada liscio. Vabbè, spero che non mi bocci. ;1753
"Facevo un gioco per trovare i sinonimi nelle parole, per esempio la parola ""vizi"" e ""difetti"". Ero anche a lezione, quindi la sensazione di essere in aula. E poi c'era un momento in cui c'era più azione, c'erano dei colpi, degli attacchi, dei combattimenti. Comunque niente di negativo, di angosciante. Non ho sensazioni negative.";1754
Qualcosa che aveva a che fare con dei land rover, e quindi qualcosa che aveva a che fare con montare e smontare dei pezzi di questo land rover. C'era anche mio fratello a un certo punto e poi mi insegnava a scrivere delle battute.;1755
Praticamente una mia amica doveva creare una situazione per fare una festa.;1756
Stavo sfogliando tinder ascoltando un podcast. Ho avuto una giornata molto difficile, sto rimuginando molto su delle cose che mi sono successe. Ho avuto una discussione con la mia ex ragazza che mi ha scosso molto, questo pomeriggio. Sono sul divano, mi sto rilassando, cercando di distrarmi. Stavo sfogliando questa applicazione di incontri. Ma proprio così, a perdi tempo. Basta, per il resto... Mi è venuta un po' di dermatite. Fisicamente, mi sento un po' uno straccio, la palestra mi ha distrutto. Però, sono in recupero, direi, dopo una giornata terrificante.;1757
"Ero un insegnante in una scuola americana, dove praticamente insegnavo prima di fare il dottorato. E avevo una classe di tipo cinquanta alunni. E avevo dei miei colleghi coetanei che mi facessero da assistenti. E dovevo spiegare come fossero fatti i castelli. Mi ritrovavo all'improvviso in questa classe, anche fisicamente. Siccome la nostra classe era all'interno di un castello, di un borgo, decidevo invece di sgolarmi e spiegare in classe, decidevo di portarli un attimo a vedere di che cosa si stava trattando. Soprattutto, volevo far capire che cosa fosse un fossato che corre attorno, appunto, alla sagoma del castello, al di fuori delle mura. E quindi iniziavamo a uscire. Ci ritrovavamo al di fuori del cartello e, a un certo punto, scendendo la collina su cui era posto il castello, mi ritrovavo davanti a una vasca. Una vasca da bagno, in realtà, che però era posta su un piedistallo ad un'altezza molto rilevante. Io decidevo di fermare tutto il gruppo lì davanti a questa vasca, quindi li facevo sedere, tiravo fuori il cellulare da cui si apriva un'app. Tra l'altro, io dicevo anche il nome dell'app, del sito web. E in quest'app, tramite dei vari software, se io inquadravo questa vasca si poteva vedere cosa c'era nel passato. Quindi, praticamente, ci si apriva una ricostruzione in realtà virtuale di cosa effettivamente circondava quella vasca. Quella vasca era parte di un anfiteatro, in realtà. Quindi io invitavo tutti gli studenti a scaricare l'app e a guardare la vasca attraverso lo schermo del cellulare, inquadrando la vasca, così da poter vedere che cosa fosse, in realtà, quella vasca. Alcuni ragazzi non riuscivano a scaricare l'app, alcuni non riuscivano a usare. Quindi io mi assicuravo che tutti usassero e comunque vedessero. Mandavo alcuni colleghi verso alcuni studenti e dicevo: ""Mi raccomando, assicuratevi che tutti stiano lavorando e stiano guardando"". Purtroppo, ero circondato da colleghi idioti. Tra questi, una ragazza che era una cialtrona proprio. E questa ragazza, ovviamente, se ne fregava di dover fare le cose, aveva un approccio all'insegnamento molto superficiale. Parlava molto con gli studenti, dicendo: ""Ah sì, ma io adesso me ne vado perché devo andare dal mio ragazzo, quindi adesso me ne vado"". E io dicevo: ""Guarda, evita di dire queste cose agli studenti"". E lei faceva: ""Sì, sì. Sì, sì"". Come se fosse uno scarico di responsabilità. Poi la lezione praticamente finiva e ce ne andavamo. Io dicevo che praticamente la lezione era come se fosse durata otto ore, dalla mattina al pomeriggio. Sensazione non positiva, perché comunque c'erano tipo uno, due, tre ragazzi che mi ascoltavano, tutto il resto era proprio le classiche pecore americane. Le mandrie di studenti americani che vengono a [PLACE2], che insomma sono molto svogliati, vogliono fare le feste. Senso di stanchezza e di frustrazione.";1758
Una specie di dispositivo elettronico, il primo GPS penso fosse, forse un regalo per qualcuno. E stavo commentando su come funzionasse il dispositivo. E poi di nuovo ho avuto la sensazione di dovermi svegliare e ricordare il sogno. Cioè dovevo registrare.;1759
Una sorta di luogo in rovina e in questo luogo in rovina, io stavo scegliendo tipo da un menu le componenti e le caratteristiche dell'auto che volevo assemblare.;1760
Sono un po' stanco, e mi ero un po' appisolato... ma non posso permettermelo, mi devo rimettere al lavoro. Mentre ero appisolato, ho sognato un po' e ho avuto un breve incubo. Di base precipitavo sotto la finestra o qualcuno precipitava sotto la finestra. Non me lo ricordo più. Poi mi sono messo a leggere un po' questo romanzo, un po' strambo per svegliarmi, insomma, per rilassarmi un attimo. Che è trilogia della guerra di Augustin Fernandez Mayo, brutto ma è spagnolo. Strano. Non strano quanto mi aspettassi perché è sul concetto di guerra. È interessante perché poi di base è un romanzo che domanda al lettore la costruzione del senso attraverso le sue parti. Interessante, sono ancora all'inizio, ho letto centoquaranta pagine. Insomma, relativamente all'inizio. E però sono stanco, vorrei ubriacarmi stasera ma non lo potrò fare. Ho fatto lezione. Oggi è andata bene, è stato un po' faticoso perché c'è anche tutto un excursus storico. E però è interessante perché poi discutiamo molto su l'impatto della tecnologia nelle vite di tutti i giorni. E parlo utilizzando anche dottrine filosofiche di varie epoche. È molto interessante. In realtà perché tiro fuori contenuti agli studenti che, insomma, gli dai diciamo dei concetti che loro possono utilizzare per spiegare determinate sensazioni, è interessante vedere come fanno. ;1761
Stavo pensando a come organizzarmi con i tempi, perché sto cenando e tra poco, tra un'oretta, devo uscire. Quindi niente, stavo pensando a queste cose organizzative. Poi in casa con me c'era un mio amico, [NAME1]. L'ho aiutato a preparare una torta a casa mia, visto che non ha il forno. Quindi stavo pensando, insomma, ad aiutarlo, come era la cottura, insomma, queste cose qui. Avevo sempre il retropensiero delle analisi che devo girare, perché quello non mi abbandona mai e perché avevo anche il computer aperto in tutto ciò. Quindi un pensiero con un pochino di preoccupazione rispetto a quelle analisi che ho in sospeso ce l'avevo.;1762
Ero a lezione. Ero contento perché è una lezione che mi interessa molto, che mi servirà nella ricerca. Però sono anche stremato, voglio avere le vacanze. Non vedo l'ora che sia giovedì, quindi a metà tra felicità per la bella lezione e la voglia di levarmi dal cazzo.;1763
"Ero a casa di mia zia, con tutta la mia famiglia. È una casa vecchia, era ancora Pasqua, quindi eravamo tutti a festeggiare la Pasqua. La mia zia aveva preso delle uova per tutti, di Pasqua. Ovviamente ne apriamo e oltre quelle mi fa:""Ho anche un regalo per te, insomma, per voi va, in particolare per te"". Era un gattino che io decido di chiamare Eugenio. Era un cucciolo, era rosso. Quindi festeggiamo, eccetera eccetera. Finché realizzo che in realtà il gatto rimaneva a casa di mia zia, cioè mia zia ci aveva fregato, ci aveva detto questa cosa è per voi, ma in realtà se lo teneva lei. È stato molto triste e quindi siamo andati al canile gattile, e abbiamo preso un'altro gattino. Ero molto felice oltre a il momento che il gatto non sarebbe venuto con noi, è stato un pochino triste, però poi mi sono ripresa perché stavamo andando a prendere un gattino.";1764
C'erano delle persone, c'era anche mio figlio.;1765
Ero in camera, facendo la valigia, quindi pensieri riguardanti come devo fare, per la prossima settimana, impegni e soprattutto vedere cosa portare a casa, cosa non portare. Quindi dei pensieri assorti in quelle che sono delle duties, cioè proprio gli impegni, diciamo così, che poi dopo si riversano nelle scelte del guardaroba. E quindi cosa portare, ma, soprattutto, cosa cambiare. Ripensare un po' anche, diciamo, una proiezione sul futuro. Quindi un interesse a cercare di consumare meno tempo e fatiche fisiche possibili. Sensazione di tranquillità in pieno, diciamo moto di pensieri e moto di idee. Diciamo una concentrazione. Ecco, uno status di concentrazione. Infatti non ho pensato ad altro, era come se dovessi seguire una to-do list mentale.;1766
Ero dalla mia mamma uhm, la giornata era uggiosa uhm, e mi ritrovo nell'ingresso proprio prima di entrare in casa, alla porta, che guardo il cielo che appunto è di quel colore uhm bianco sporco. Insomma, così e passano una serie di aerei militari a gran velocità e prima li vedo passare schierati, tipo una dozzina di questi aerei in formazione e poi eh si sparpagliano in cielo e a un certo punto io ne vedo passare qualche d'uno uhm su diverse traiettorie così e a un certo punto proprio una specie di navicella. Era tonda eh con la gobba. Insomma, vedo queste navicelle. Ne vedo una, poi ne vedo un'altra che c'ha addirittura due uhm paracaduti russi. E un'altra ancora che invece proprio si avvicina verso di me, ma molto quindi eh, è sopra la mia testa ed è enorme. Uhm, sono preoccupata molto, ma in realtà sono preoccupata che prelevino eh la mia mamma, non me. Ehm, quindi vado da lei a cercarla. Sono preoccupata, ci mettiamo a guardare entrambe il cielo, però uhm è una preoccupazione uhm, non forte uhm semplicemente ehm stranite uhm. Ehm, poi ero sempre dalla mia mamma in bagno e fuori dalla finestra eh vedo un sacco eh di terra. È buio, allora è tipo tramonto, cioè una luce molto lieve. E c'è fuori appunto questa terra, dell'erbaccia, degli arbusti e guardando attentamente fuori vedo che c'è una persona, vedo delle braccia, così. E, in pratica, a un certo punto mi rendo conto che c'è una ragazza che sta all'interno di una specie di orso, ma l'orso è finto è come fosse fatto di questi arbusti di terra così. E sta lì e io sono preoccupata ehm che non abbia da mangiare ehm, e questo. ;1767
Arrivo a un bar in bicicletta, una Graziella, entro in questo bar, all'interno un locale modernissimo, suddiviso in settori: un settore tabacchi, un settore bar, e qualcos'altro. E all'inizio chiedo delle sigarette. Il gestore non mi conosce, non conosce mio padre. Nessuno sembra conoscere mio padre, quindi alla fine non riesco a comprare queste sigarette. E niente, incontro anche della gente conosciuta, però anche loro non si ricordano né di me né di mio padre. Alla fine decido, visto che c'è una specie di gelateria, di comprarmi un gelato. Gestito da un indiano. La vetrina si presentava piena di frutti e di gelati, ordino un gelato, e il commesso comincia a riempire una ciotola di frutta, in quantità abnorme. A un certo punto gli dico che avevo già mangiato e non avevo bisogno di tutta quella roba. Chiedo il conto, il conto mi sembra piuttosto alto, mi chiede qualcosa come trenta euro. Pago in lire, però sono convinto di aver parlato di euro. E alla fine però il prezzo risulta un po' troppo caro e litigo col gestore, che, alla fine mi minaccia e mi dice che prima o poi mi eliminerà. Al che gli rispondo che mi sono già eliminato da solo perché dal paese me ne sono andato tanti anni fa.;1768
"Qualcosa con dei demoni e comunque qualcosa di molto maledetto. All'inizio ho sentito parlare di questa storia come se io fossi una telecamera e la storia accadeva a degli attori. Ehm, andavo in un negozio. Ero in un posto che non era casa mia, andavo in spiaggia. Era a casa mia. Una storia introduttiva di queste due persone famose, qualcosa sulla lunghezza d'onda di cantanti o una cantante e un attore, insomma, una ragazza e un ragazzo che vanno a fare una vacanza nella sperduta casa fra le montagne, in campagna, di lei. Dopo un po' di tempo che era tutto normale, iniziano a vedere delle cose strane fuori dalla loro finestra, come delle ombre che si muovono e non gli danno molto peso ma dopo iniziano a vedere anche degli uomini proprio e quando si girano un attimo, sbattono le palpebre, quegli uomini non ci sono più. Ehm iniziano ad avere sempre più paura, quando a un certo punto iniziano anche a vedere degli uomini con delle grandi croci bianche che sembrano essere dei posti dove qualcuno è stato sotterrato. Ehm, questa situazione inizia a peggiorare quando gli uomini ombre, si avvicinano alle loro finestre ehm e insomma definitivamente succede qualcosa con questi uomini che attaccano entrambi. Entrambi gli attori, comunque ricoperti di sangue fuori dalla casa, però, sono sopravvissuti. Ehm, poi sto con mia madre e sono andata semplicemente in un negozio, questo negozio è un negozio di vestiti, uno di fast fashion a caso, qualcosa tipo Pinky, qualcosa tipo Tally Weijl. Ehm entro in questo negozio, guardo un po' in giro, uhm in particolar modo mamma si allontana da una parte, questo negozio in fila con altri negozi, ma da una parte e dall'altra, quindi sul davanti e sul retro ehm ha due ingressi e entrambi questi ingressi hanno le vetrine. Uhm mamma va da un'altra parte, io vado in un angolino a vedere degli accessori. Questi accessori sono dei cappelli, sono delle cinture, poi mi sposto leggermente e ci sono anche delle pettorine per cani e ci sono dei cappelli piccolissimi, ma veramente piccoli che potrebbero veramente stare bene solo sopra la testa di un serpente e erano apposta per quello. C'era un'etichetta con scritto categoria ""Cappelli"" uhm prezzo undici euro ed ero scioccata perché era molto più che un cappello per animali. Poi giro l'etichetta e questo era ""Specifico cappello piccolo due euro e cinquanta invece di tre euro e cinquanta"" e quindi penso: ""Ah ok, è meglio"". Poi io mi giro, sono entrata nel negozio da davanti e sono proceduta verso destra invece mia madre era andata verso sinistra ehm quindi io dalla parte destra mi giro verso la vetrina a destra e fuori c'è una signora che parla a voce molto alta al telefono e parla di come presto ci sarà un contest tenuto da una radio locale o qualcosa del genere, su le due persone che si assomigliano di più dentro il negozio. Ehm, allora una calca inizia ad arrivare dentro al negozio una volta che sentono ciò che dice questa signora. E mi giro, la guardo: ""Ciao nonna!"", però in realtà non è mia nonna, non gli assomiglia nemmeno. Lei ovviamente non mi sente, continua a camminare però io comunque sta cosa l'ho detta. Ehm allora inizio a girarmi per vedere dov'è mia madre, perché comunque ci assomigliamo e lei in realtà è uscita dal retro, quindi lei mi sta guardando dalla vetrina, dalla parte sinistra. Ehm e allora le faccio cenno di venire ehm il negozio si sta riempiendo di persone. Sono con i miei amici e gli spiego tutto ciò che so di queste cose della possessione demonica e sfortunatamente uno degli amici ha trovato a terra ehm un pezzettino rettangolare, un piccolissimo parallelepipedo di ciò che sembra essere quarzo rosa ma piccolo, veramente, la metà di un chicco di riso, è mattina presto. Ehm e questo piccolissimo pezzettino rosa significa che gli uomini che vedere le cose fuori dalla finestra e poi ti vengono a fare del male dentro casa, stanno arrivando anche in quella zona. Allora io inizio a raccontare la storia e dico che comunque tutto ciò che so perché l'ho già visto e che questa famosa cantante, tipo livello Spice Girls, ehm con questo attore, erano andati in questa vacanza, in questa casa di campagna però era successo una morte fra i loro amici, prima lì in una vacanza precedente o qualcosa del genere e l'avevano sotterrato, era morto. Questo uno dei loro amici, in precedenza. E loro l'avevano sotterrato, e tutto questo aveva fatto scatenare questi demoni, queste ombre, queste cose. Ehm io ne sto parlando con i miei amici. Poi sono in motorino, sto guidando sul lungomare. Ehm non è un lungomare di nessun posto che conosco è un mix di un po' tutto, ma è anche una cosa nuova che non ho mai visto. Ehm, allora guido con il motorino, parcheggio, ci sono tanti ombrelloni e c'è un ombrellone dove i miei genitori sono già arrivati. Allora io, dopo aver guidato un po', li raggiungo, sono lì ehm dopo dico che vado a farmi il bagno. Loro mi avvertono che è pericoloso e io mi faccio strada tra i tanti ombrelloni,  c'è la sabbia, poi continua per un po' con l'acqua sopra, ma per pochissimo tempo, perché subito ci sono gli scogli, veramente quattro passi. Allora io sto in acqua, l'acqua è piacevole. Ehm, per qualche motivo non mi sento felice in quel momento e allora penso di voler salire sugli scogli. Ehm poi però penso: ""No, i miei genitori sanno che non sono felice in questo momento e se salgo sugli scogli pensano che magari voglio tuffare e far male"". Quindi io mi sono avvicinata agli scogli, ma alla fine non ci sono andata più. Allora procedo ehm guardando verso il mare, verso la mia sinistra ehm quindi cammino un po' e in quel momento eh, camminando un po' verso una parte, dopo che ho superato gli scogli, la parte prima degli scogli di sabbia è normale, ma la parte dopo è come se fossero sabbie mobili che sia diventa più profonda l'acqua, ma sia si incastrano i piedi nella sabbia. E allora io per sbaglio metto un piede lì, inizio un po' a sentirmi che sto andando verso il basso, che affogo ehm però fortunatamente mi bastano veramente due bracciate e torno dalla parte normale. Esco dall'acqua, mi guardo in giro, sono indignata. Com'è possibile per la sicurezza di tutte le persone che sono sulla spiaggia? Che ne sono tantissime, cioè io a perdita d'occhio vedo un ombrellone attaccato vicino all'altro per cinque, sei file, finché veramente non non riesco più a vederne. I bordi degli ombrelloni si toccano, veramente. Ehm, quindi io sono indignata, mi guardo a destra e a sinistra, ho paura per le altre persone che stanno lì. C'è una famiglia indiana che sta facendo il bagno eh allora uno dei bambini rischia di andare da quella parte, si vede che per un attimo proprio ha un problema e poi io sono spaventata. Com'è possibile che sia accettabile che ci siano alle sabbie mobili? Ehm subito i genitori lo prendono e niente, si risolve così, ma io rimango lì, in piedi come una scema, veramente arrabbiata. Allora dico: ""Ah pazienza, andiamo a prendere qualcosa"". Torno all'ombrellone con i miei e ci dirigiamo verso uhm gli stabilimenti. In pratica gli ombrelloni sono tutti attaccati l'un l'altro: sei, sette file sulla spiaggia. Lo stabilimento ha un ingresso che è largo tutte e sei le file e continua per molto tempo. Quindi noi entriamo lì e ci dirigiamo vogliamo prendere un gelato, qualcosa di simile ehm camminando ci sono vari stand all'interno dello stabilimento. Lo stabilimento di questo legno scuro ed è molto grande, è lungo sei file di ombrelloni, alto normale e continua per molto tempo e uno si deve, insomma, può girare tra vari banconi, vari negozi stessi dentro a questo stabilimento. Quindi, andando verso quello del gelato incontro uno dei videogiochi, e ci sono tantissime schede SD a terra ehm e alcune sono ad esempio videogiochi, alcune sono dei Pokémon, quindi sono a terra. Non sono di nessuno, non mi stanno guardando le persone dello stand, quindi le prendo me le porto via e mamma si gira verso di me, mi guarda, mi dice: ""Mah, fai quello che vuoi"". Ehm guardo ancora quelle persone che sono dello stand, non m'hanno visto, quindi io mi porto via una scheda più grande e una scheda più piccola che stavano a terra, proprio abbandonate. Ehm superati un bancone degli alcolici, superato qualche altro bancone. Sono dentro casa mia, ci sono i miei genitori. Ehm i miei genitori mi stanno chiedendo di comunque fare le valigie, perché se questa casa dovesse diventare non più un posto sicuro dovremmo andare in un altro posto sicuro. Quindi io vedo tra i miei vestiti, ci sono dei guanti, ci sono molte cose che non sono vestiti da portare via, quindi, dopo quello che sembrava un'eternità, riesco a mettere delle cose in una busta, in una valigia. Ehm il problema principale sono le finestre, perché uhm sembrano essere in grado di poter rompere le finestre ehm beh, una volta entrati dentro casa ti fanno del male. Ehm allora io ero in camera mia, mi avvicino di nuovo verso la cucina, ci sono i miei gli dico: ""Va bene, ho fatto con la valigia"". Torno verso camera mia e guardo verso la finestra. C'è un ragazzo con i capelli neri lì, io sono spaventatissima. Finché non lo riconosco, è un mio amico. Allora gli dico: ""Disgraziato, cosa fai lì? Mi hai fatto prendere un colpo!"" e m'ha detto: ""Lo faccio entrare?"" oppure ""Entra lui da solo?"", una cosa un po' spaventosa. Ehm tipo che si è teletrasportato. E allora entra e mi dice: ""Avevo bisogno di un posto sicuro dove stare. Non ho nessuno, perché...""... uhm, insomma, qualcosa è successo ai suoi. Ehm allora lo faccio entrare, lo porto in cucina con i miei ehm e allora stiamo lì, stiamo tutti insieme, stiamo ascoltando, siamo seduti al tavolo della cucina, quindi siamo in quattro e stiamo ascoltando i rumori ehm si sentono i rumori dell'appartamento sopra il mio. Ehm sembra essere una giornata di pioggia ehm e i rumori sopra sono finestre che si rompe. Rumori di uccisione e la mia vicina che urla e finito lì. E poi per qualche motivo questi demoni sembrano essere così potenti che hanno fatto completamente sparire tutti i muri del nostro appartamento sopra perché il segno che stavano venendo per noi era il fatto che tutto il muro inizia a essere zuppo di acqua perché piove. Il soffitto, tutti i muri come se fossero di cartongesso e inizia a scendere l'acqua. Quindi noi ci guardiamo negli occhi, abbiamo tutti le mani giunte in preghiera e sappiamo cosa sta per venire dopo. Stavo con amici e cercavamo comunque tutti di pregare e ci sembrava che meglio pregavamo, meno i demoni venissero da noi. Il posto era abbastanza buio, aveva poche finestre, ma ce l'aveva comunque. Ehm noi pregavamo e era difficile, io cercavo di recitare il padre nostro e non mi veniva assolutamente. Mi venivano le parole sbagliate e quindi pensavo fosse colpa mia che stessero arrivando i demoni.";1769
Ero in centro a [PLACE1] con delle ragazze dell'università. E in realtà facevamo una passeggiata. Poi, ad un certo punto, ci sedavamo ad un bar. Ci sedavamo qua e iniziavamo a fare ... cioè semplicemente una ragazza aveva fame e ha preso del cibo e io avevo sete e ho preso dell'acqua. E poi ha iniziato a piovere. E noi eravamo sotto, tipo sotto un tendone. E guardavamo la pioggia, aspettavamo aspettando che passasse. E io mi sentivo... Ma in realtà mi sentivo abbastanza tranquilla. In realtà sì, mi sentivo tranquilla. Ero molto rilassata in questa situazione.;1770
Oggi mi sento bene. Molto bene, tutto molto positivo. Ho avuto da organizzare una braciata nel pomeriggio, quindi insomma ero tranquillo. Diciamo carico per la giornata. Niente, nulla. Niente da sottolineare, tutto molto positivo, nella norma. A livello di positività alto, mi sento bene, sereno, rilassato.;1771
C'ero io con una maglia, e su questa t-shirt c'era una clessidra.;1772
Ho percepito tranquillità, silenzio, rilassatezza: sono stata sul divano a chattare con le mie amiche che non vedo da tempo e organizzare delle uscite insieme.;1773
Ero al telefono con un'amica, ero in un momento di relax, avevo finito di fare cose di scuola, altri impegni. Mi ero messa proprio in pausa, e sto aspettando appunto di andare a cena per cui passare il resto della serata abbastanza tranquilla, e niente diciamo che sono un momento tranquillo in cui mi sto come dire godendo un po' di relax e di serata casalinga.;1774
Entravo a scuola e dovevo lavorare però con delle classi diverse, insieme al maestro di motoria. Quindi una sensazione un po' di essere spaesata, fuori luogo, perché non è quello che faccio, solitamente, però lo spazio era per me familiare, noto.;1775
E' andato tutto bene, sono riuscita a fare l'incastro che mi preoccupava, quindi ora mi posso rilassare, quindi sto bene, e non ho preoccupazioni, non ho da fare niente di particolare. O anzi, di particolare ho da fare una cosa, nel senso che ho un collegamento online per un'associazione di cui faccio parte, però una cosa molto tranquilla e rilassante, quindi sono contenta.;1776
Sono in camera mia, in attesa che stia spiovendo, mi sono messo a fare delle commissioni, diciamo, delle faccende di casa. Niente di particolare, il pensiero è rivolto a delle cose da sbrigare, riguardanti appunto l'università. Niente di così trascendentale, non ho nessuna preoccupazione. Quindi non ho neanche pensieri così impattanti su quelli che possono essere i miei sentimenti o comunque le mie sensazioni. Sono comunque in un ambiente chiuso, al sicuro, al riparo. Abbastanza stanco, ma tranquillo, non ho nessuna... sensazione. Tranquillità, serenità.;1777
